filename,Original Area,Original Perimeter,Original m10,Original m01,Original m11,Original m20,Original m02,Convex Hull Area,Convex Hull Perimeter,Convex Hull m10,Convex Hull m01,Convex Hull m11,Convex Hull m20,Convex Hull m02,# of Deficits,Area of Deficits
00000091.png,4055.5,301.8723247051239,167245.8333333333,282139.8333333333,11347570.041666666,7316655.583333333,24406246.583333332,4055.5,301.8723247051239,167245.8333333333,282139.8333333333,11347570.041666666,7316655.583333333,24406246.583333332,9,1783.0000000000005
00000092.png,4039.5,292.9845951795578,176756.0,269970.5,11591717.208333332,8129692.75,22582819.25,4039.5,292.9845951795578,176756.0,269970.5,11591717.208333332,8129692.75,22582819.25,12,1441.4999999999986
00000093.png,3902.5,290.43186724185944,179751.5,248465.0,11306562.958333332,8652698.583333332,19980971.75,3902.5,290.43186724185944,179751.5,248465.0,11306562.958333332,8652698.583333332,19980971.75,8,1476.5000000000016
00000094.png,4272.5,295.64712059497833,198656.5,273504.6666666666,12471388.125,9763365.25,21924306.083333332,4272.5,295.64712059497833,198656.5,273504.6666666666,12471388.125,9763365.25,21924306.083333332,8,1938.4999999999982
00000095.png,5009.5,308.46791303157806,238841.8333333333,338054.3333333333,15835779.541666666,12193394.25,28172924.083333332,5009.5,308.46791303157806,238841.8333333333,338054.3333333333,15835779.541666666,12193394.25,28172924.083333332,9,2211.500000000002
00000096.png,5502.5,318.00942528247833,266844.6666666666,386604.0,18474496.875,14024038.25,33017947.916666664,5502.5,318.00942528247833,266844.6666666666,386604.0,18474496.875,14024038.25,33017947.916666664,8,3290.0000000000005
00000097.png,6049.5,326.70303535461426,300293.8333333333,436479.8333333333,21434004.875,16359795.583333332,37928695.58333333,6049.5,326.70303535461426,300293.8333333333,436479.8333333333,21434004.875,16359795.583333332,37928695.58333333,10,3208.000000000001
00000098.png,6397.5,331.65212082862854,320511.0,468495.0,23265115.625,17856816.416666664,40937654.58333333,6397.5,331.65212082862854,320511.0,468495.0,23265115.625,17856816.416666664,40937654.58333333,10,3232.5
00000099.png,6576.5,333.692334651947,327402.1666666666,487155.5,23916403.791666664,18284334.083333332,42885915.416666664,6576.5,333.692334651947,327402.1666666666,487155.5,23916403.791666664,18284334.083333332,42885915.416666664,12,3317.0000000000005
00000100.png,6549.0,335.0547912120819,319318.0,489522.8333333333,23406755.583333332,17577203.166666664,43341336.166666664,6549.0,335.0547912120819,319318.0,489522.8333333333,23406755.583333332,17577203.166666664,43341336.166666664,12,3389.500000000001
